question,answer,context,id,task,direction,size
who directed the film rajanna?,Vijayendra Prasad,csv/203-csv/393.csv,nt-62,,,
is the are of saint helena more than that of nightingale island?,yes,csv/204-csv/332.csv,nt-63,,,
how many districts are there in virginia?,22,csv/204-csv/109.csv,nt-64,,,
which alumni in the 1990's has the least number of international caps?,Clint Bolton,csv/203-csv/312.csv,nt-65,,,
what title is at the top of the table?,The Name of the Game,csv/203-csv/570.csv,nt-66,,,
what is the number of tv shows that charmaine sheh has appeared on?,9,csv/203-csv/631.csv,nt-67,,,
"amazon is at the top of the chart, but what is the name below it?",Antelope,csv/204-csv/568.csv,nt-68,,,
when was the last time kansas state lost with 0 points in manhattan?,1964,csv/203-csv/703.csv,nt-69,,,
how long was joseph black a coach?,1 year,csv/203-csv/577.csv,nt-70,,,
which month were the least amount of games held in?,April,csv/203-csv/470.csv,nt-71,,,
what is the number of formula one series races that cochet has been in?,2,csv/203-csv/198.csv,nt-72,,,
how many matches took place in the first premier?,27,csv/203-csv/246.csv,nt-73,,,
which driver appears the most?,Jim Clark,csv/203-csv/367.csv,nt-74,,,
how many places list no zip code in either the lower or upper zip code?,18,csv/204-csv/356.csv,nt-75,,,
how many populations at most have any notes?,0,csv/204-csv/891.csv,nt-76,,,
what is the number of christian radio stations broadcasted by mxr yorkshire?,2,csv/203-csv/603.csv,nt-77,,,
what is the most compilation albums released in one year?,4,csv/204-csv/471.csv,nt-78,,,
what are the number of times antonov is listed as the manufacturer?,8,csv/203-csv/601.csv,nt-79,,,
has the dominican republic won more or less medals than china?,less,csv/203-csv/535.csv,nt-80,,,
what vehicle maker other than dodge has the most vehicles in the roster?,Chevrolet,csv/204-csv/89.csv,nt-81,,,
how many top selling brands target dermatology?,3,csv/204-csv/610.csv,nt-82,,,
which ethnicity is previous from dungan,Belorussian,csv/204-csv/984.csv,nt-83,,,
which year had the most titles released?,2005,csv/204-csv/643.csv,nt-84,,,
name someone else from scotland inducted before alan brazil.,George Burley,csv/204-csv/650.csv,nt-85,,,
what party has the most mp's?,Serbian Progressive Party Српска напредна странка / Srpska napredna stranka,csv/203-csv/139.csv,nt-86,,,
who was the only judge appointed by mckinley?,David Davie Shelby,csv/203-csv/563.csv,nt-87,,,
how many times was jim mcmanus jim osborne's partner?,7,csv/204-csv/335.csv,nt-88,,,
what was the number of days of the denver open?,5,csv/204-csv/536.csv,nt-89,,,
who is the only person to score in the march 6 game against videoton this season?,Stapleton,csv/204-csv/605.csv,nt-90,,,
how many songs charted above the 10th position on any chart?,3,csv/204-csv/654.csv,nt-91,,,
who was the first to take office?,Jaafar Mohamed,csv/204-csv/668.csv,nt-92,,,
count how many of these members were unionists.,1,csv/204-csv/608.csv,nt-93,,,
what is the next event after hardcore tv #15?,Hardcore TV #21,csv/204-csv/23.csv,nt-94,,,
how long was the race in the all-africa games (distance)?,"10,000 m",csv/203-csv/189.csv,nt-95,,,
how many towns have a population higher than 1000?,9,csv/203-csv/568.csv,nt-96,,,
which rifle has the longest barrel?,Rifle 1889,csv/204-csv/343.csv,nt-97,,,
how many received a gold or silver medal in cycling?,6,csv/203-csv/4.csv,nt-98,,,
how many elections had at least a 0.2 percentage of constituency votes?,9,csv/203-csv/698.csv,nt-99,,,
what is the least number of concerts given in a season,9,csv/203-csv/288.csv,nt-100,,,
name the countries with the least amount if silver medals?,Belgium|Hungary|Netherlands|Spain|Czechoslovakia|Italy|Denmark,csv/203-csv/314.csv,nt-101,,,
"other than ulm, what is the name of the other imperial city listed?",Überlingen,csv/203-csv/190.csv,nt-102,,,
"at the women's 200 meter individual medley sm10 event at the 2012 summer paralympics, how long did it take aurelie rivard to finish?",2:37.70,csv/204-csv/422.csv,nt-103,,,
which composer produced his title after 2001?,Pete Doherty,csv/204-csv/969.csv,nt-104,,,
what is the total of conservatives,94,csv/204-csv/223.csv,nt-105,,,
"other than parry, name an athlete from wales.",Darren Jones,csv/204-csv/575.csv,nt-106,,,
which player ranked the most?,Nicky English,csv/204-csv/952.csv,nt-107,,,
what are the number of times model 25 is listed on this chart?,8,csv/203-csv/136.csv,nt-108,,,
how many total points did russia win in this competition?,119,csv/204-csv/809.csv,nt-109,,,
what style was the chateau de brissac rebuilt in after it was damaged during the french wars of religion?,baroque style,csv/204-csv/806.csv,nt-110,,,
how long after fairfield was no. 1 built?,33 years,csv/204-csv/476.csv,nt-111,,,
what is the first airbase listed on the chart?,Abu al-Duhur Military Airbase,csv/204-csv/102.csv,nt-112,,,
which university has the least in endowment?,Brown University,csv/203-csv/592.csv,nt-113,,,
"name one county that only received 1,935 votes total.",Hidalgo,csv/204-csv/956.csv,nt-114,,,
who was the next ranked competitor after dior delophont and ligia grozav?,Iryna Herashchenko,csv/204-csv/741.csv,nt-115,,,
what is the difference in runners-up from coleraine academical institution and royal school dungannon?,20,csv/203-csv/362.csv,nt-116,,,
"what year was the first to reach 1,000 or more live births?",1985,csv/203-csv/668.csv,nt-117,,,
what is the first party listed on this chart?,Conservatives,csv/204-csv/223.csv,nt-118,,,
how many defensive (df) players are there on the national team?,4,csv/203-csv/121.csv,nt-119,,,
which opponent has the most wins,Bahrain,csv/204-csv/836.csv,nt-120,,,
what property comes before tensile elongation?,Tensile Modulus,csv/204-csv/229.csv,nt-121,,,
the team's record in 2011 was the same was it's record in what year,2009,csv/204-csv/32.csv,nt-122,,,
which district has the greatest total number of electorates?,Tikamgarh,csv/204-csv/255.csv,nt-123,,,
how many times has germany won bronze?,2,csv/203-csv/554.csv,nt-124,,,
"list two pylons that are at most, 80 m in height.",Mittersill goods aerial tramway|Singapore cable car,csv/203-csv/375.csv,nt-125,,,
what two teams only have two titles?,Western Michigan|North Dakota,csv/203-csv/502.csv,nt-126,,,
what is the name of the first club on this chart?,UE Lleida,csv/203-csv/145.csv,nt-127,,,
"in 2008 in track and field events who broke more world records, usain bolt or haile gebrselassie?",Usain Bolt,csv/203-csv/102.csv,nt-128,,,
which election was the first to reach over 40% of the popular vote?,2003,csv/203-csv/558.csv,nt-129,,,
why type of genre was peter maxwell davies' work that was the same as emil petrovics',ballet,csv/204-csv/969.csv,nt-130,,,
what week had the most attendance?,15,csv/203-csv/691.csv,nt-131,,,
what is the difference (in years) between when the royal blue began and the year the crusader began?,47,csv/204-csv/336.csv,nt-132,,,
what are the number of years maine has participated?,1,csv/203-csv/502.csv,nt-133,,,
what is the last iec world plugs type in the list?,N,csv/204-csv/794.csv,nt-134,,,
what is the least number of meters habte jifar has run?,"5,000 m",csv/203-csv/189.csv,nt-135,,,
"how many times, total, was the result ""won""",24,csv/204-csv/948.csv,nt-136,,,
what country had the least gdp growth from 2007-2011?,Zimbabwe,csv/203-csv/296.csv,nt-137,,,
in which country did thierry tulasne win his last singles title?,Switzerland,csv/203-csv/60.csv,nt-138,,,
what was the last event held?,Men's 25 m rapid fire pistol,csv/204-csv/413.csv,nt-139,,,
what was the first award he was nominated for?,Black Reel Awards,csv/203-csv/643.csv,nt-140,,,
what is the number of games the senators have played?,18,csv/203-csv/517.csv,nt-141,,,
what was the first team that toronto lost to?,Toronto 228th Battalion,csv/204-csv/557.csv,nt-142,,,
"who is taller, the delegate from jalapa or from villa nueva?",Villa Nueva,csv/204-csv/20.csv,nt-143,,,
what was the best position achieved at the olympic games after the 1996 atlanta games?,11th,csv/203-csv/646.csv,nt-144,,,
how many academy awards have been won posthumously?,16,csv/203-csv/17.csv,nt-145,,,
number of goals manchester united scored against preston north end in the season,3,csv/204-csv/467.csv,nt-146,,,
"how many times does ""friendly"" appear in the competition column?",5,csv/204-csv/346.csv,nt-147,,,
who received the least amount of votes?,Karen Olsson,csv/204-csv/786.csv,nt-148,,,
which locomotive was built after 1915?,No.774,csv/203-csv/223.csv,nt-149,,,
funningsfjørður and fuglafjørður are located on the same island as...?,Funningur,csv/203-csv/568.csv,nt-150,,,
which province in andalusia has the largest population?,Seville,csv/203-csv/3.csv,nt-151,,,
what is the next highest hard drive available after the 30gb model?,64GB SSD,csv/204-csv/451.csv,nt-152,,,
the total number of helipads at hama military airport?,10,csv/204-csv/102.csv,nt-153,,,
what are the only species with 99% sequence identity?,Pan troglodytes|Nomascus leucogenys,csv/204-csv/358.csv,nt-154,,,
what was the month and year when the rutgers-eagleton poll first showed 50 percent in favor of same-sex marriage in new jersey?,November 2009,csv/203-csv/43.csv,nt-155,,,
how many times did the home team have a score of only one against the away team?,4,csv/204-csv/475.csv,nt-156,,,
"other than lake ercek, name a lake in van.",Lake Van,csv/204-csv/341.csv,nt-157,,,
"which mountain peak has a prominence more than 10,000 ft?",Mount Whitney,csv/204-csv/25.csv,nt-158,,,
how many mines were in temagami?,10,csv/204-csv/944.csv,nt-159,,,
how many gold medals did this country win during these olympics?,10,csv/204-csv/884.csv,nt-160,,,
what peter widen's is the highest finish in all indoor championships?,5th,csv/204-csv/445.csv,nt-161,,,
how many audio versions are less than five minutes long?,3,csv/204-csv/804.csv,nt-162,,,
who was the top scorer after sukhrob nematov?,Vokhid Shodiev,csv/204-csv/357.csv,nt-163,,,
how many articles were published in the 6th volume?,"3,108",csv/204-csv/843.csv,nt-164,,,
what is the total number of awards the lion king has won?,15,csv/204-csv/592.csv,nt-165,,,
how long did it take this competitor to finish the 4x400 meter relay at universiade in 2005?,3:02.57,csv/204-csv/622.csv,nt-166,,,
which is the oldest locomotive?,BL26,csv/204-csv/816.csv,nt-167,,,
"what year did the album ""jezebel"" on blockshok records release?",1995,csv/204-csv/928.csv,nt-168,,,
which schools have the largest number of shared titles?,Royal Belfast Academical Institution|Campbell College,csv/203-csv/362.csv,nt-169,,,
what name comes next fairfield?,Waverley,csv/204-csv/476.csv,nt-170,,,
how many games were only won by 20 points or less?,2,csv/204-csv/157.csv,nt-171,,,
"what was her peak ranking in the us for the single ""it wasn't god who made honky tonk angles""?",27,csv/204-csv/500.csv,nt-172,,,
when was bobbie phillips first role in tv?,1991,csv/202-csv/178.csv,nt-173,,,
give the total number of riders listed.,26,csv/204-csv/162.csv,nt-174,,,
which one is the last on the chart,Sam Snead,csv/204-csv/679.csv,nt-175,,,
how long was the marathon for camilla benjaminsson?,1:20:00,csv/204-csv/31.csv,nt-176,,,
which is the most recent source for the name?,Clavijo,csv/202-csv/250.csv,nt-177,,,
which province is the top consumer of wine?,Yukon,csv/204-csv/533.csv,nt-178,,,
which chords does not have a sharp or flat note?,G7,csv/203-csv/324.csv,nt-179,,,
how long did ian armstrong serve?,26 years,csv/202-csv/76.csv,nt-180,,,
habte jifar is a marathon runner representing his home country of ____?,Ethiopia,csv/203-csv/189.csv,nt-181,,,
how many games did the senators play in january?,10,csv/203-csv/517.csv,nt-182,,,
what material has the top or best thermal conductivity based on the information in the table?,Diamond,csv/203-csv/385.csv,nt-183,,,
"which month had more games played, january or december?",January,csv/204-csv/967.csv,nt-184,,,
how many total towns on the list are in montgomery county?,3,csv/204-csv/299.csv,nt-185,,,
what is the total number of fdrcs that the ppopp has been a part of?,3,csv/204-csv/916.csv,nt-186,,,
what is the name of the first jockey on this chart?,Tom Kiley,csv/204-csv/330.csv,nt-187,,,
what was the first non volume game released in 2004?,Gunbird Special Edition / Gunbird 1&2,csv/203-csv/583.csv,nt-188,,,
what is the top place listed on the chart?,"Brisbane, Australia",csv/204-csv/550.csv,nt-189,,,
who became commissioner after george p. larrick?,"James Lee Goddard, M.D.",csv/203-csv/559.csv,nt-190,,,
how many airlines have a steady ranking?,4,csv/203-csv/515.csv,nt-191,,,
how many top scorers do not appear twice?,4,csv/204-csv/357.csv,nt-192,,,
"in 2007, what is the largest number of consecutive games won by the nebraska football team?",2,csv/204-csv/294.csv,nt-193,,,
in terms of gross what movie is above toy story 3?,Pirates of the Caribbean: At World's End,csv/203-csv/174.csv,nt-194,,,
which three artists had a single at number 1 for at least 7 weeks on the australian singles charts in 1977?,Julie Covington|Pussyfoot|Andy Gibb,csv/203-csv/197.csv,nt-195,,,
in what year did the fiba south america under-17 championship for women first begin?,1976,csv/204-csv/360.csv,nt-196,,,
which movies were number 1 for at least two consecutive weeks?,Frozen|Cásese Quien Pueda|300: Rise of an Empire,csv/204-csv/7.csv,nt-197,,,
where was the only site that both team ever tied the game in?,Columbia,csv/203-csv/209.csv,nt-198,,,
how many players with an assist did not play the position of mf or fw?,2,csv/204-csv/575.csv,nt-199,,,
what is the number of symbol zn?,30,csv/204-csv/39.csv,nt-200,,,
which two counties have the larger populations when combined - park and missoula or judith basin and madison?,Park and Missoula,csv/204-csv/572.csv,nt-201,,,
what is the last city/town/village listed in the table?,Sanuki,csv/204-csv/841.csv,nt-202,,,
which candidate got the least votes in the entire districts?,Nezir Jaupaj (PKSH) (2.63 %),csv/204-csv/226.csv,nt-203,,,
how many teams had at least 15 wins?,8,csv/203-csv/145.csv,nt-204,,,
what is the difference in tom power's number and jon wood's number?,5,csv/204-csv/89.csv,nt-205,,,
what car achieved the highest qual?,40,csv/203-csv/339.csv,nt-206,,,
what was the first computer to use a decimal numeral system?,Harvard Mark I - IBM ASCC,csv/204-csv/577.csv,nt-207,,,
which secretary of state came after jack pkckersgill?,Roch Pinard,csv/201-csv/27.csv,nt-208,,,
which album did she produce before good rain?,Pixiedust,csv/204-csv/529.csv,nt-209,,,
how many athletes are not ranked?,21,csv/204-csv/713.csv,nt-210,,,
how far did they make it in the fa cup after 2009?,Round of 16,csv/204-csv/179.csv,nt-211,,,
how many consecutive songs were by the album leaf?,6,csv/203-csv/357.csv,nt-212,,,
what team scored the least opposition strength?,Amplistan,csv/204-csv/837.csv,nt-213,,,
which party finished last in the election?,Sweden Democrats,csv/202-csv/231.csv,nt-214,,,
"in their first 20 games, which team did the tigers play the most?",CHW,csv/203-csv/536.csv,nt-215,,,
which track is at the top of the us chart?,You're Gettin' to Me Again,csv/203-csv/830.csv,nt-216,,,
"which castle is considered second fortress of anjou, after angers?",Château de Pouancé,csv/204-csv/806.csv,nt-217,,,
the team placed 1st in 1992/93. how did they place the previous year?,18th,csv/204-csv/35.csv,nt-218,,,
what award was won previously just before the medaglia pontificia anno xiii was awarded?,Indira Gandhi Peace Prize for Disarmament and Development,csv/203-csv/769.csv,nt-219,,,
who was the only person that scheider lost against?,Myron Greenberg,csv/200-csv/31.csv,nt-220,,,
which driver and co-driver finished at 3:59 but with 8 points?,Dani Sordo|Marc Marti,csv/203-csv/399.csv,nt-221,,,
what was the name of the ship that was built after the jule in this yard?,United States lightship LV-72,csv/204-csv/781.csv,nt-222,,,
when was the benetton b198 chassis used?,1998,csv/202-csv/294.csv,nt-223,,,
which institution has the most undergraduate enrollment?,Cornell University,csv/203-csv/592.csv,nt-224,,,
"other than chimaltenango's contestant, which region also had a 19-year-old contestant?",Ciudad Capital,csv/204-csv/20.csv,nt-225,,,
what date was the first game played?,December 21,csv/203-csv/517.csv,nt-226,,,
when was the last super chinese game released?,1999,csv/203-csv/55.csv,nt-227,,,
is the rf for wivm-ld 39 or 29?,39,csv/204-csv/793.csv,nt-228,,,
"who held the position longer, t.v sivaraopantulu or l. suryalingam?",T.V. SivaraoPantulu,csv/204-csv/593.csv,nt-229,,,
which players came in a place before lukas bauer?,Iivo Niskanen|Daniel Richardsson|Johan Olsson|Dario Cologna,csv/204-csv/81.csv,nt-230,,,
what year did monaco ratify more international human rights treaties than they did in 1979?,1993,csv/203-csv/109.csv,nt-231,,,
how many consecutive games did dejan damjanovic score a goal in during the 2013 season?,3,csv/204-csv/375.csv,nt-232,,,
what is the number of democratic victories?,20,csv/203-csv/95.csv,nt-233,,,
where was the match held immediately before 2014's at guizhou olympic stadium?,"Tianhe Stadium, Guangzhou",csv/204-csv/770.csv,nt-234,,,
what is the first club listed in the chart?,WIT Georgia,csv/204-csv/985.csv,nt-235,,,
which jockey is before tm jones,Willie Robinson,csv/204-csv/561.csv,nt-236,,,
how many songs did ishaan dev create for the movies kai thunindavan and thaazhvaarakaatu?,5,csv/204-csv/546.csv,nt-237,,,
did jim osborne win any titles at least once on a grass court?,yes,csv/204-csv/335.csv,nt-238,,,
what year had a total of 2 titles released?,2010,csv/203-csv/836.csv,nt-239,,,
what is the only building in canada to have more than 60 floors?,First Canadian Place,csv/203-csv/777.csv,nt-240,,,
what year has no place indicated?,1982/83,csv/203-csv/231.csv,nt-241,,,
which locomotive weighs the least?,Re 4/4,csv/204-csv/850.csv,nt-242,,,
what is the average score of all home team members for all dates?,1.75,csv/203-csv/24.csv,nt-243,,,
how many of the listed senators were at least 90 years old when they died?,5,csv/204-csv/145.csv,nt-244,,,
"what role did mischa barton play in the movie ""octane""?",Natasha 'Nat' Wilson,csv/200-csv/1.csv,nt-245,,,
what nation leads the medal count?,Russia,csv/203-csv/724.csv,nt-246,,,
how long has neha been acting?,7 years,csv/203-csv/157.csv,nt-247,,,
what is the number of games played against vietnam?,1,csv/204-csv/913.csv,nt-248,,,
"how many games were attended by at least 60,000 people?",6,csv/204-csv/443.csv,nt-249,,,
what is the number of points scored on 6 february 1922?,1,csv/204-csv/267.csv,nt-250,,,
what is the total number of gold medals awarded?,33,csv/204-csv/785.csv,nt-251,,,
how many tournaments did sergio garcia win on the 2002 pga tour?,1,csv/203-csv/531.csv,nt-252,,,
how many of the contestants were students?,3,csv/203-csv/446.csv,nt-253,,,
we will rock you and we are the champions where played at which venue?,RTÉ Studios,csv/203-csv/855.csv,nt-254,,,
which year had the largest agricultural volume?,2010/11,csv/204-csv/666.csv,nt-255,,,
what is the total number of wins for macau?,6,csv/203-csv/14.csv,nt-256,,,
"what title appears before ""the self-preservation society""?",Herogasm,csv/203-csv/570.csv,nt-257,,,
how many spanish champions have there been?,3,csv/204-csv/351.csv,nt-258,,,
what was the first song that this producer helped write?,Cheat on you,csv/204-csv/927.csv,nt-259,,,
which illustrator was responsible for the last award winner?,Helen Oxenbury,csv/203-csv/788.csv,nt-260,,,
what episode had the most viewers?,Episode Ten,csv/204-csv/449.csv,nt-261,,,
does december or january have more snow days?,January,csv/201-csv/3.csv,nt-262,,,
what is the average number of points scored by opponents in the five games lost this season?,29.2,csv/204-csv/227.csv,nt-263,,,
what is the number of buildings under 200 ft?,1,csv/203-csv/837.csv,nt-264,,,
what was the finishing place of the team before the 2007-2008?,3rd,csv/204-csv/186.csv,nt-265,,,
which are they only two names that have spain as their country of origin?,García|Rodríguez,csv/203-csv/573.csv,nt-266,,,
total number of players whose home town was in north carolina (nc),7,csv/204-csv/526.csv,nt-267,,,
what was the first playstation 3 release date?,28 February 2012,csv/204-csv/587.csv,nt-268,,,
which team did the rangers play first in november of 1992 in the uefa champions league?,Leeds United,csv/204-csv/691.csv,nt-269,,,
is the united stated or scotland better?,United States,csv/204-csv/396.csv,nt-270,,,
in what year was the lake compounce carousel moved to its present home?,1911,csv/203-csv/806.csv,nt-271,,,
what was the first mercedez to win world green car?,Mercedes-Benz E320 Bluetec,csv/203-csv/838.csv,nt-272,,,
"which model has a thrust of at least 12,000 kg?",AL-31,csv/203-csv/823.csv,nt-273,,,
what is the total number of seasons?,10,csv/204-csv/532.csv,nt-274,,,
what is the most wins?,14,csv/204-csv/314.csv,nt-275,,,
how many films were directed by sridhar after the year 1961?,48,csv/203-csv/204.csv,nt-276,,,
how many matches were held in the netherlands?,10,csv/204-csv/53.csv,nt-277,,,
how many people were born in 1976?,2,csv/204-csv/935.csv,nt-278,,,
what were the total number of license plates that featured the black embossed numbers on it?,11,csv/203-csv/379.csv,nt-279,,,
how many rebounds were there by all miami heat players?,34,csv/203-csv/532.csv,nt-280,,,
how many ships were launched in the year 1944?,9,csv/203-csv/313.csv,nt-281,,,
the drawwith the larges total,6,csv/203-csv/430.csv,nt-282,,,
how long has internacional de madrid cf been playing in the 3ª division?,3,csv/203-csv/783.csv,nt-283,,,
how many total medals has the united states won in women's figure skating?,16,csv/203-csv/104.csv,nt-284,,,
who was the next rider after tetsuya harada?,Jean-Philippe Ruggia,csv/203-csv/35.csv,nt-285,,,
are the most trains operational or do they have another status listed?,Operational,csv/203-csv/717.csv,nt-286,,,
tell me the number of gold medals the dominican republic won.,1,csv/204-csv/785.csv,nt-287,,,
greek revival and peony plantings are most commonly associated with what house in canton?,John and Eliza Barr Patterson House,csv/204-csv/831.csv,nt-288,,,
opponent for highest attended home game,New York Jets,csv/204-csv/207.csv,nt-289,,,
which hispanic population had the greatest growth from 2000 to 2005?,White,csv/204-csv/990.csv,nt-290,,,
how many number were in service in 1910?,8,csv/204-csv/882.csv,nt-291,,,
what is the total number of gold medals won by jamaica?,4,csv/204-csv/595.csv,nt-292,,,
the green bay packers after miami dolphins chose which player?,John Mack,csv/203-csv/229.csv,nt-293,,,
what is difference in points between c.d. aguila and chalatenango?,14,csv/203-csv/67.csv,nt-294,,,
how many division 1 teams were founded before 1950?,5,csv/204-csv/959.csv,nt-295,,,
what tournament is at the top?,World Championships,csv/204-csv/202.csv,nt-296,,,
jones won best actress in a play in 2005. which other award did she win that year?,Outstanding Actress in a Play,csv/203-csv/146.csv,nt-297,,,
what number countries received gold medals?,12,csv/204-csv/761.csv,nt-298,,,
was the next game after august 31 home or away?,Away,csv/204-csv/495.csv,nt-299,,,
"what number of mainlands have populations under 100,000?",9,csv/203-csv/401.csv,nt-300,,,
what is the number of the player from slovakia?,115,csv/204-csv/140.csv,nt-301,,,
how many riders used a motorcycle manufactured by honda?,6,csv/203-csv/166.csv,nt-302,,,
what is the total number of games that started at 7:00?,8,csv/204-csv/459.csv,nt-303,,,
how many towers does château d'angers have?,17,csv/204-csv/806.csv,nt-304,,,
which was the first country to sell weapons to iraq?,Czechoslovakia,csv/203-csv/587.csv,nt-305,,,
did chicago win more or less than cal-berkeley?,More,csv/204-csv/879.csv,nt-306,,,
how many songs were on the mtv taiwan top 20 chart?,3,csv/202-csv/54.csv,nt-307,,,
how many historic sites are listed in coldwater?,15,csv/204-csv/423.csv,nt-308,,,
which event did he place in first?,European U23 Championships,csv/203-csv/677.csv,nt-309,,,
how many players named jeff were drafted?,2,csv/203-csv/149.csv,nt-310,,,
what year was the earliest bull-dog drummond published?,1920,csv/203-csv/394.csv,nt-311,,,
"true or false. the television show ""the two ronnies"" featured more than 10 episodes in a season.",false,csv/203-csv/461.csv,nt-312,,,
who is the previous qualifier over anna pau?,Leontia Kallenou,csv/204-csv/741.csv,nt-313,,,
what is the number of awards that arisan won in 2004?,3,csv/203-csv/818.csv,nt-314,,,
are there at least 2 nationalities on the chart?,yes,csv/204-csv/482.csv,nt-315,,,
