question,answer,context,id,task,direction,size
List all items in Row 5,"Z,O,L,J,B,W",csv/0-csv/item_801.csv,nt36,item,row,"(6, 6)"
What is the minimum of Row 6?,1,csv/0-csv/arithmetic_2599.csv,nt37,arithmetic,row,"(12, 12)"
What is the maximum of Row 1?,8,csv/0-csv/arithmetic_4856.csv,nt38,arithmetic,row,"(6, 6)"
What is the minimum of Row 1?,3,csv/0-csv/arithmetic_5590.csv,nt39,arithmetic,row,"(4, 4)"
List all items in Col 10,"B,C,C,C,L,I,N,T,R,S",csv/0-csv/item_4908.csv,nt40,item,col,"(10, 10)"
What is the maximum of Col 11?,10,csv/0-csv/arithmetic_6099.csv,nt41,arithmetic,col,"(12, 12)"
List all items in Row 3,"Y,I,H,N",csv/0-csv/item_1870.csv,nt42,item,row,"(4, 4)"
What is the minimum of Col 3?,3,csv/0-csv/arithmetic_6072.csv,nt43,arithmetic,col,"(8, 8)"
List all items in Col 3,"Y,R,W,C,R,M,P,Q,A,B",csv/0-csv/item_1643.csv,nt44,item,col,"(10, 10)"
What is the minimum of Row 3?,1,csv/0-csv/arithmetic_4665.csv,nt45,arithmetic,row,"(4, 4)"
List all items in Row 1,"B,L,V,V",csv/0-csv/item_5425.csv,nt46,item,row,"(4, 4)"
List all items in Row 5,"M,L,M,A,N,G,K,E,B,K,N,R",csv/0-csv/item_154.csv,nt47,item,row,"(12, 12)"
List all items in Col 11,"V,C,R,K,S,V,V,E,L,C,L,O",csv/0-csv/item_3054.csv,nt48,item,col,"(12, 12)"
What is the minimum of Row 3?,1,csv/0-csv/arithmetic_2214.csv,nt49,arithmetic,row,"(12, 12)"
List all items in Col 2,"Y,V,N,D,T,V,F,M",csv/0-csv/item_3732.csv,nt50,item,col,"(8, 8)"
What is the minimum of Col 6?,1,csv/0-csv/arithmetic_2572.csv,nt51,arithmetic,col,"(8, 8)"
List all items in Col 3,"O,N,I,M,W,J,A,T",csv/0-csv/item_632.csv,nt52,item,col,"(8, 8)"
What is the maximum of Col 3?,10,csv/0-csv/arithmetic_4103.csv,nt53,arithmetic,col,"(10, 10)"
List all items in Row 6,"U,G,X,O,V,K,A,P,D,H",csv/0-csv/item_5343.csv,nt54,item,row,"(10, 10)"
List all items in Col 2,"J,Q,R,I",csv/0-csv/item_1125.csv,nt55,item,col,"(4, 4)"
List all items in Row 6,"A,D,K,D,A,Q,Y,T",csv/0-csv/item_6892.csv,nt56,item,row,"(8, 8)"
What is the minimum of Row 9?,1,csv/0-csv/arithmetic_894.csv,nt57,arithmetic,row,"(12, 12)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_6714.csv,nt58,arithmetic,row,"(12, 12)"
What is the maximum of Col 7?,10,csv/0-csv/arithmetic_658.csv,nt59,arithmetic,col,"(10, 10)"
List all items in Row 6,"H,Q,C,J,N,R",csv/0-csv/item_1131.csv,nt60,item,row,"(6, 6)"
List all items in Col 3,"A,C,H,F,W,G",csv/0-csv/item_6886.csv,nt61,item,col,"(6, 6)"
What is the maximum of Row 2?,9,csv/0-csv/arithmetic_880.csv,nt62,arithmetic,row,"(4, 4)"
What is the minimum of Row 2?,3,csv/0-csv/arithmetic_6700.csv,nt63,arithmetic,row,"(4, 4)"
What is the minimum of Col 3?,1,csv/0-csv/arithmetic_5209.csv,nt64,arithmetic,col,"(12, 12)"
List all items in Row 7,"J,F,M,W,A,U,U,V,C,A,E,D",csv/0-csv/item_4049.csv,nt65,item,row,"(12, 12)"
List all items in Col 3,"E,R,E,G,X,T",csv/0-csv/item_3726.csv,nt66,item,col,"(6, 6)"
What is the maximum of Row 2?,8,csv/0-csv/arithmetic_2566.csv,nt67,arithmetic,row,"(6, 6)"
List all items in Col 8,"K,L,W,J,T,J,B,J,Z,I",csv/0-csv/item_2438.csv,nt68,item,col,"(10, 10)"
List all items in Col 6,"L,F,T,F,N,S",csv/0-csv/item_626.csv,nt69,item,col,"(6, 6)"
What is the maximum of Col 3?,8,csv/0-csv/arithmetic_3678.csv,nt70,arithmetic,col,"(10, 10)"
What is the maximum of Col 3?,9,csv/0-csv/arithmetic_4117.csv,nt71,arithmetic,col,"(8, 8)"
List all items in Col 6,"N,T,P,F,Q,G,G,E",csv/0-csv/item_5357.csv,nt72,item,col,"(8, 8)"
What is the maximum of Col 4?,10,csv/0-csv/arithmetic_4671.csv,nt73,arithmetic,col,"(6, 6)"
List all items in Col 6,"I,U,J,F,T,X",csv/0-csv/item_5431.csv,nt74,item,col,"(6, 6)"
List all items in Row 3,"C,Z,V,O",csv/0-csv/item_140.csv,nt75,item,row,"(4, 4)"
List all items in Col 3,"O,H,E,Q",csv/0-csv/item_3040.csv,nt76,item,col,"(4, 4)"
What is the maximum of Col 3?,6,csv/0-csv/arithmetic_2200.csv,nt77,arithmetic,col,"(4, 4)"
What is the maximum of Row 1?,9,csv/0-csv/arithmetic_6066.csv,nt78,arithmetic,row,"(6, 6)"
What is the maximum of Col 12?,9,csv/0-csv/arithmetic_1709.csv,nt79,arithmetic,col,"(12, 12)"
List all items in Row 3,"G,H,A,U,S,T,W,V",csv/0-csv/item_1657.csv,nt80,item,row,"(8, 8)"
List all items in Col 4,"F,Q,A,Y,V,B,H,W,K,Y",csv/0-csv/item_6138.csv,nt81,item,col,"(10, 10)"
List all items in Row 3,"J,N,R,Z,S,O,R,Z,F,O,H,G",csv/0-csv/item_5419.csv,nt82,item,row,"(12, 12)"
What is the minimum of Col 5?,1,csv/0-csv/arithmetic_4659.csv,nt83,arithmetic,col,"(12, 12)"
What is the maximum of Col 3?,5,csv/0-csv/arithmetic_3136.csv,nt84,arithmetic,col,"(6, 6)"
List all items in Col 4,"I,S,T,K,Q,K",csv/0-csv/item_2376.csv,nt85,item,col,"(6, 6)"
List all items in Col 4,"P,O,Z,Q,O,U,I,Q,B,I",csv/0-csv/item_168.csv,nt86,item,col,"(10, 10)"
What is the maximum of Row 3?,9,csv/0-csv/arithmetic_2228.csv,nt87,arithmetic,row,"(10, 10)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_4881.csv,nt88,arithmetic,col,"(6, 6)"
List all items in Row 2,"N,R,Z,H,Z,R,I,M,Z,B",csv/0-csv/item_3068.csv,nt89,item,row,"(10, 10)"
List all items in Col 1,"V,F,C,R,S,J,K,Y",csv/0-csv/item_4707.csv,nt90,item,col,"(8, 8)"
What is the minimum of Col 6?,1,csv/0-csv/arithmetic_5547.csv,nt91,arithmetic,col,"(8, 8)"
What is the maximum of Row 5?,8,csv/0-csv/arithmetic_1721.csv,nt92,arithmetic,row,"(6, 6)"
What is the minimum of Col 2?,1,csv/0-csv/arithmetic_116.csv,nt93,arithmetic,col,"(6, 6)"
List all items in Row 2,"P,R,A,B",csv/0-csv/item_6110.csv,nt94,item,row,"(4, 4)"
List all items in Col 3,"K,Q,O,G,O,M",csv/0-csv/item_6676.csv,nt95,item,col,"(6, 6)"
List all items in Col 12,"P,E,V,K,E,K,N,L,S,C,U,S",csv/0-csv/item_1119.csv,nt96,item,col,"(12, 12)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_670.csv,nt97,arithmetic,row,"(4, 4)"
What is the maximum of Row 2?,10,csv/0-csv/arithmetic_1047.csv,nt98,arithmetic,row,"(8, 8)"
What is the maximum of Col 5?,10,csv/0-csv/arithmetic_6728.csv,nt99,arithmetic,col,"(10, 10)"
List all items in Row 6,"G,A,X,P,W,N",csv/0-csv/item_4061.csv,nt100,item,row,"(6, 6)"
What is the maximum of Row 7?,10,csv/0-csv/arithmetic_3888.csv,nt101,arithmetic,row,"(10, 10)"
What is the minimum of Row 6?,2,csv/0-csv/arithmetic_5221.csv,nt102,arithmetic,row,"(6, 6)"
What is the minimum of Col 3?,1,csv/0-csv/arithmetic_34.csv,nt103,arithmetic,col,"(12, 12)"
What is the maximum of Row 4?,7,csv/0-csv/arithmetic_3650.csv,nt104,arithmetic,row,"(4, 4)"
List all items in Row 1,"S,O,P,T",csv/0-csv/item_2410.csv,nt105,item,row,"(4, 4)"
List all items in Col 4,"Q,F,P,H",csv/0-csv/item_4075.csv,nt106,item,col,"(4, 4)"
What is the maximum of Col 3?,10,csv/0-csv/arithmetic_5235.csv,nt107,arithmetic,col,"(4, 4)"
What is the minimum of Row 11?,1,csv/0-csv/arithmetic_3644.csv,nt108,arithmetic,row,"(12, 12)"
What is the maximum of Row 2?,7,csv/0-csv/arithmetic_20.csv,nt109,arithmetic,row,"(4, 4)"
List all items in Row 5,"H,C,J,R,L,O,A,N,Y,F,G,A",csv/0-csv/item_2404.csv,nt110,item,row,"(12, 12)"
List all items in Row 1,"Q,K,Q,A,E,Y,M,Z",csv/0-csv/item_6662.csv,nt111,item,row,"(8, 8)"
What is the maximum of Col 5?,10,csv/0-csv/arithmetic_664.csv,nt112,arithmetic,col,"(12, 12)"
What is the maximum of Row 5?,9,csv/0-csv/arithmetic_1053.csv,nt113,arithmetic,row,"(10, 10)"
What is the minimum of Col 4?,2,csv/0-csv/arithmetic_1735.csv,nt114,arithmetic,col,"(4, 4)"
What is the maximum of Col 5?,10,csv/0-csv/arithmetic_102.csv,nt115,arithmetic,col,"(8, 8)"
List all items in Col 7,"G,R,B,M,P,P,I,I,S,L,H,Y",csv/0-csv/item_6104.csv,nt116,item,col,"(12, 12)"
What is the minimum of Row 3?,2,csv/0-csv/arithmetic_3122.csv,nt117,arithmetic,row,"(8, 8)"
List all items in Col 5,"O,E,W,I,J,L,B,T",csv/0-csv/item_2362.csv,nt118,item,col,"(8, 8)"
What is the minimum of Row 4?,2,csv/0-csv/arithmetic_4895.csv,nt119,arithmetic,row,"(4, 4)"
List all items in Row 9,"Q,T,P,L,Q,Y,G,B,L,R",csv/0-csv/item_4713.csv,nt120,item,row,"(10, 10)"
What is the minimum of Col 1?,1,csv/0-csv/arithmetic_5553.csv,nt121,arithmetic,col,"(10, 10)"
List all items in Row 4,"S,Q,T,M",csv/0-csv/item_2835.csv,nt122,item,row,"(4, 4)"
List all items in Row 2,"C,G,W,U,V,T,Z,T",csv/0-csv/item_5182.csv,nt123,item,row,"(8, 8)"
List all items in Row 5,"V,S,N,X,H,Q,G,J",csv/0-csv/item_1482.csv,nt124,item,row,"(8, 8)"
List all items in Row 3,"R,O,U,C",csv/0-csv/item_395.csv,nt125,item,row,"(4, 4)"
What is the maximum of Col 6?,10,csv/0-csv/arithmetic_5962.csv,nt126,arithmetic,col,"(8, 8)"
List all items in Row 1,"E,Y,X,Q",csv/0-csv/item_3295.csv,nt127,item,row,"(4, 4)"
What is the minimum of Row 4?,1,csv/0-csv/arithmetic_5976.csv,nt128,arithmetic,row,"(6, 6)"
List all items in Col 6,"X,N,J,P,K,E",csv/0-csv/item_381.csv,nt129,item,col,"(6, 6)"
List all items in Row 8,"M,H,R,C,G,X,G,I,K,M",csv/0-csv/item_5828.csv,nt130,item,row,"(10, 10)"
List all items in Row 3,"G,K,K,S,T,D",csv/0-csv/item_3281.csv,nt131,item,row,"(6, 6)"
List all items in Col 3,"A,X,V,B,F,U",csv/0-csv/item_1496.csv,nt132,item,col,"(6, 6)"
What is the minimum of Row 2?,1,csv/0-csv/arithmetic_499.csv,nt133,arithmetic,row,"(12, 12)"
List all items in Col 9,"W,L,B,R,M,D,F,T,H,D",csv/0-csv/item_4288.csv,nt134,item,col,"(10, 10)"
List all items in Col 4,"I,J,S,G,D,I",csv/0-csv/item_2821.csv,nt135,item,col,"(6, 6)"
List all items in Row 3,"Q,I,Y,I,K,M",csv/0-csv/item_5196.csv,nt136,item,row,"(6, 6)"
What is the maximum of Row 3?,10,csv/0-csv/arithmetic_1286.csv,nt137,arithmetic,row,"(6, 6)"
List all items in Row 8,"C,B,D,U,U,K,A,Q,R,J,M,U",csv/0-csv/item_2809.csv,nt138,item,row,"(12, 12)"
What is the minimum of Col 5?,2,csv/0-csv/arithmetic_2957.csv,nt139,arithmetic,col,"(8, 8)"
What is the maximum of Row 6?,9,csv/0-csv/arithmetic_3491.csv,nt140,arithmetic,row,"(6, 6)"
What is the maximum of Col 1?,9,csv/0-csv/arithmetic_4498.csv,nt141,arithmetic,col,"(10, 10)"
What is the maximum of Row 2?,10,csv/0-csv/arithmetic_5786.csv,nt142,arithmetic,row,"(6, 6)"
List all items in Col 4,"Z,B,L,C",csv/0-csv/item_5800.csv,nt143,item,col,"(4, 4)"
What is the minimum of Col 3?,1,csv/0-csv/arithmetic_5792.csv,nt144,arithmetic,col,"(8, 8)"
List all items in Row 9,"I,Z,X,S,P,F,I,S,M,N,O,C",csv/0-csv/item_5814.csv,nt145,item,row,"(12, 12)"
What is the minimum of Row 4?,1,csv/0-csv/arithmetic_2943.csv,nt146,arithmetic,row,"(10, 10)"
What is the maximum of Col 2?,10,csv/0-csv/arithmetic_3485.csv,nt147,arithmetic,col,"(4, 4)"
What is the minimum of Row 7?,4,csv/0-csv/arithmetic_1292.csv,nt148,arithmetic,row,"(8, 8)"
What is the maximum of Col 4?,9,csv/0-csv/arithmetic_6516.csv,nt149,arithmetic,col,"(6, 6)"
What is the maximum of Row 1?,10,csv/0-csv/arithmetic_1279.csv,nt150,arithmetic,row,"(12, 12)"
List all items in Col 1,"J,L,R,R,T,T,R,N",csv/0-csv/item_1327.csv,nt151,item,col,"(8, 8)"
List all items in Row 4,"Y,D,Z,C,L,H,R,T,M,Y",csv/0-csv/item_6448.csv,nt152,item,row,"(10, 10)"
List all items in Col 4,"P,Y,Y,E,W,D",csv/0-csv/item_5141.csv,nt153,item,col,"(6, 6)"
What is the maximum of Row 6?,7,csv/0-csv/arithmetic_4301.csv,nt154,arithmetic,row,"(6, 6)"
List all items in Row 3,"C,Y,O,K",csv/0-csv/item_430.csv,nt155,item,row,"(4, 4)"
What is the maximum of Row 1?,7,csv/0-csv/arithmetic_2770.csv,nt156,arithmetic,row,"(4, 4)"
List all items in Row 2,"E,S,X,G",csv/0-csv/item_3530.csv,nt157,item,row,"(4, 4)"
List all items in Col 4,"B,O,D,L,S,D,Y,F,S,C,V,M",csv/0-csv/item_4539.csv,nt158,item,col,"(12, 12)"
What is the minimum of Col 4?,1,csv/0-csv/arithmetic_5779.csv,nt159,arithmetic,col,"(12, 12)"
What is the minimum of Row 2?,2,csv/0-csv/arithmetic_2016.csv,nt160,arithmetic,row,"(6, 6)"
List all items in Col 3,"H,C,H,G,F,K",csv/0-csv/item_3256.csv,nt161,item,col,"(6, 6)"
What is the minimum of Col 1?,2,csv/0-csv/arithmetic_3308.csv,nt162,arithmetic,col,"(10, 10)"
List all items in Row 2,"R,Z,V,N,P,R",csv/0-csv/item_356.csv,nt163,item,row,"(6, 6)"
List all items in Col 3,"C,R,R,B,G,T,H,U,Z,D",csv/0-csv/item_2148.csv,nt164,item,col,"(10, 10)"
List all items in Col 4,"T,E,G,Z,G,F,Q,E",csv/0-csv/item_5627.csv,nt165,item,col,"(8, 8)"
What is the maximum of Col 2?,8,csv/0-csv/arithmetic_4467.csv,nt166,arithmetic,col,"(8, 8)"
List all items in Col 3,"S,S,B,A,Z,F",csv/0-csv/item_1441.csv,nt167,item,col,"(6, 6)"
What is the maximum of Row 5?,10,csv/0-csv/arithmetic_328.csv,nt168,arithmetic,row,"(10, 10)"
What is the maximum of Col 4?,7,csv/0-csv/arithmetic_6270.csv,nt169,arithmetic,col,"(4, 4)"
List all items in Col 2,"J,N,K,B",csv/0-csv/item_1455.csv,nt170,item,col,"(4, 4)"
What is the maximum of Row 7?,10,csv/0-csv/arithmetic_6264.csv,nt171,arithmetic,row,"(12, 12)"
What is the minimum of Row 5?,1,csv/0-csv/arithmetic_2002.csv,nt172,arithmetic,row,"(8, 8)"
List all items in Col 2,"T,J,L,I,U,X,R,T",csv/0-csv/item_3242.csv,nt173,item,col,"(8, 8)"
List all items in Col 5,"Q,B,M,X,J,C,R,Z",csv/0-csv/item_342.csv,nt174,item,col,"(8, 8)"
List all items in Row 6,"U,A,P,W,D,W,M,X,I,G",csv/0-csv/item_5633.csv,nt175,item,row,"(10, 10)"
What is the maximum of Col 4?,8,csv/0-csv/arithmetic_4473.csv,nt176,arithmetic,col,"(10, 10)"
List all items in Row 3,"C,V,S,E",csv/0-csv/item_5155.csv,nt177,item,row,"(4, 4)"
What is the maximum of Col 2?,6,csv/0-csv/arithmetic_4315.csv,nt178,arithmetic,col,"(4, 4)"
List all items in Col 3,"Q,L,S,A,U,Z,O,H,Z,C,I,C",csv/0-csv/item_424.csv,nt179,item,col,"(12, 12)"
What is the maximum of Row 9?,10,csv/0-csv/arithmetic_2764.csv,nt180,arithmetic,row,"(12, 12)"
List all items in Col 3,"T,H,F,L,Z,F,H,V,H,Q,K,N",csv/0-csv/item_3524.csv,nt181,item,col,"(12, 12)"
What is the maximum of Row 7?,10,csv/0-csv/arithmetic_6502.csv,nt182,arithmetic,row,"(8, 8)"
List all items in Row 5,"V,G,G,U,G,A,R,W,Z,M",csv/0-csv/item_1333.csv,nt183,item,row,"(10, 10)"
What is the maximum of Col 4?,10,csv/0-csv/arithmetic_2994.csv,nt184,arithmetic,col,"(12, 12)"
List all items in Row 4,"R,Z,H,S,W,I,F,Y",csv/0-csv/item_2612.csv,nt185,item,row,"(8, 8)"
What is the maximum of Col 7?,10,csv/0-csv/arithmetic_3452.csv,nt186,arithmetic,col,"(8, 8)"
What is the minimum of Col 9?,1,csv/0-csv/arithmetic_5023.csv,nt187,arithmetic,col,"(10, 10)"
List all items in Col 7,"J,S,U,M,O,H,Y,Z,W,P",csv/0-csv/item_4263.csv,nt188,item,col,"(10, 10)"
What is the maximum of Col 4?,10,csv/0-csv/arithmetic_1245.csv,nt189,arithmetic,col,"(4, 4)"
What is the maximum of Row 6?,10,csv/0-csv/arithmetic_472.csv,nt190,arithmetic,row,"(8, 8)"
List all items in Row 10,"E,I,A,P,C,U,S,D,N,Y,N,T",csv/0-csv/item_6474.csv,nt191,item,row,"(12, 12)"
List all items in Row 2,"M,H,M,D,C,S,Y,D",csv/0-csv/item_6312.csv,nt192,item,row,"(8, 8)"
What is the maximum of Col 7?,10,csv/0-csv/arithmetic_314.csv,nt193,arithmetic,col,"(12, 12)"
What is the minimum of Row 10?,1,csv/0-csv/arithmetic_1523.csv,nt194,arithmetic,row,"(10, 10)"
What is the maximum of Col 1?,7,csv/0-csv/arithmetic_5745.csv,nt195,arithmetic,col,"(4, 4)"
List all items in Row 1,"R,Y,S,T",csv/0-csv/item_4505.csv,nt196,item,row,"(4, 4)"
List all items in Col 5,"O,J,D,A,Z,P,V,R,B,O,S,R",csv/0-csv/item_2174.csv,nt197,item,col,"(12, 12)"
What is the maximum of Col 6?,8,csv/0-csv/arithmetic_3334.csv,nt198,arithmetic,col,"(12, 12)"
What is the maximum of Row 1?,9,csv/0-csv/arithmetic_5751.csv,nt199,arithmetic,row,"(6, 6)"
List all items in Col 2,"Q,Y,B,M,G,O",csv/0-csv/item_4511.csv,nt200,item,col,"(6, 6)"
List all items in Col 3,"J,W,C,E",csv/0-csv/item_2160.csv,nt201,item,col,"(4, 4)"
What is the maximum of Col 6?,10,csv/0-csv/arithmetic_5989.csv,nt202,arithmetic,col,"(12, 12)"
What is the minimum of Row 1?,1,csv/0-csv/arithmetic_3320.csv,nt203,arithmetic,row,"(4, 4)"
List all items in Row 4,"D,C,B,T,C,J",csv/0-csv/item_6306.csv,nt204,item,row,"(6, 6)"
What is the maximum of Col 3?,9,csv/0-csv/arithmetic_300.csv,nt205,arithmetic,col,"(4, 4)"
List all items in Row 11,"Y,I,P,Q,U,I,W,R,M,Q,Q,A",csv/0-csv/item_1469.csv,nt206,item,row,"(12, 12)"
What is the maximum of Row 8?,6,csv/0-csv/arithmetic_1537.csv,nt207,arithmetic,row,"(8, 8)"
What is the maximum of Row 8?,9,csv/0-csv/arithmetic_6258.csv,nt208,arithmetic,row,"(10, 10)"
What is the maximum of Row 6?,10,csv/0-csv/arithmetic_1251.csv,nt209,arithmetic,row,"(6, 6)"
What is the maximum of Col 1?,9,csv/0-csv/arithmetic_466.csv,nt210,arithmetic,col,"(6, 6)"
List all items in Col 2,"C,A,C,W",csv/0-csv/item_6460.csv,nt211,item,col,"(4, 4)"
What is the maximum of Row 12?,10,csv/0-csv/arithmetic_4329.csv,nt212,arithmetic,row,"(12, 12)"
What is the minimum of Col 1?,2,csv/0-csv/arithmetic_2980.csv,nt213,arithmetic,col,"(4, 4)"
List all items in Row 6,"G,D,M,Z,F,U,J,C,S,W,S,Z",csv/0-csv/item_5169.csv,nt214,item,row,"(12, 12)"
List all items in Row 2,"A,C,A,G,Y,W,S,U,C,G",csv/0-csv/item_418.csv,nt215,item,row,"(10, 10)"
List all items in Row 2,"H,X,I,S,I,B",csv/0-csv/item_2606.csv,nt216,item,row,"(6, 6)"
What is the maximum of Row 5?,7,csv/0-csv/arithmetic_3446.csv,nt217,arithmetic,row,"(6, 6)"
List all items in Col 9,"S,K,K,S,I,R,C,L,B,R",csv/0-csv/item_3518.csv,nt218,item,col,"(10, 10)"
What is the maximum of Col 8?,9,csv/0-csv/arithmetic_2758.csv,nt219,arithmetic,col,"(10, 10)"
What is the maximum of Col 4?,7,csv/0-csv/arithmetic_5037.csv,nt220,arithmetic,col,"(8, 8)"
List all items in Row 4,"P,J,S,T,L,N,Q,B",csv/0-csv/item_4277.csv,nt221,item,row,"(8, 8)"
List all items in Col 4,"Q,M,C,M,E,L,O,L",csv/0-csv/item_587.csv,nt222,item,col,"(8, 8)"
List all items in Row 2,"L,C,X,E,Q,N,W,U,S,Z,G,V",csv/0-csv/item_2799.csv,nt223,item,row,"(12, 12)"
List all items in Col 1,"D,O,V,W,F,Z",csv/0-csv/item_2941.csv,nt224,item,col,"(6, 6)"
List all items in Col 7,"L,E,T,N,F,Y,O,L",csv/0-csv/item_3487.csv,nt225,item,col,"(8, 8)"
List all items in Row 4,"T,D,T,R",csv/0-csv/item_1290.csv,nt226,item,row,"(4, 4)"
List all items in Row 5,"R,G,N,A,G,H,O,J,F,Z,P,R",csv/0-csv/item_6299.csv,nt227,item,row,"(12, 12)"
What is the minimum of Row 1?,1,csv/0-csv/arithmetic_5.csv,nt228,arithmetic,row,"(4, 4)"
List all items in Col 4,"X,O,R,S,W,P,H,K,O,L",csv/0-csv/item_5948.csv,nt229,item,col,"(10, 10)"
List all items in Col 1,"X,L,N,H",csv/0-csv/item_5790.csv,nt230,item,col,"(4, 4)"
What is the minimum of Col 3?,3,csv/0-csv/arithmetic_5816.csv,nt231,arithmetic,col,"(6, 6)"
List all items in Col 1,"O,D,G,V,D,X,D,X,Y,D,Q,J",csv/0-csv/item_5784.csv,nt232,item,col,"(12, 12)"
What is the minimum of Row 2?,2,csv/0-csv/arithmetic_5802.csv,nt233,arithmetic,row,"(8, 8)"
List all items in Row 5,"V,V,B,Q,J,P,Z,J,W,Q,L,Z",csv/0-csv/item_1284.csv,nt234,item,row,"(12, 12)"
List all items in Row 1,"D,W,V,X,Q,V,Q,J,P,R",csv/0-csv/item_593.csv,nt235,item,row,"(10, 10)"
List all items in Row 2,"Z,Z,V,G",csv/0-csv/item_2955.csv,nt236,item,row,"(4, 4)"
List all items in Row 5,"J,X,C,A,N,I,S,X,S,M",csv/0-csv/item_3493.csv,nt237,item,row,"(10, 10)"
What is the maximum of Col 4?,10,csv/0-csv/arithmetic_2823.csv,nt238,arithmetic,col,"(10, 10)"
What is the maximum of Col 6?,10,csv/0-csv/arithmetic_5194.csv,nt239,arithmetic,col,"(12, 12)"
List all items in Row 10,"O,Q,S,E,F,Q,F,H,S,D,D,C",csv/0-csv/item_5974.csv,nt240,item,row,"(12, 12)"
