question,answer,context,id,task,direction,size
What is the minimum of Row 5?,2,tables/arithmetic_8.html,nt-24,arithmetic,row,"(8, 8)"
What is the maximum of Col 1?,8,tables/arithmetic_8.html,nt-25,arithmetic,col,"(8, 8)"
List all items in Row 6,"Y,C,M,I,D,L,C,L,B,B,A,I",tables/item_12.html,nt-26,item,row,"(12, 12)"
List all items in Col 10,"Y,N,E,X,D,B,O,O,Y,Y,Q,D",tables/item_12.html,nt-27,item,col,"(12, 12)"
What is the sum of Row 2?,20,tables/arithmetic_4.html,nt-28,arithmetic,row,"(4, 4)"
What is the sum of Col 3?,8,tables/arithmetic_4.html,nt-29,arithmetic,col,"(4, 4)"
List all items in Row 1,"Y,V,Q,C",tables/item_4.tsv,nt-30,item,row,"(4, 4)"
List all items in Col 3,"Q,W,A,X",tables/item_4.tsv,nt-31,item,col,"(4, 4)"
List all items in Row 5,"D,P,O,O,K,G,K,P",tables/item_8.csv,nt-32,item,row,"(8, 8)"
List all items in Col 4,"V,F,K,Q,O,F,D,X",tables/item_8.csv,nt-33,item,col,"(8, 8)"
List all items in Row 1,"R,L,Q,B",tables/item_4.html,nt-34,item,row,"(4, 4)"
List all items in Col 2,"L,B,X,T",tables/item_4.html,nt-35,item,col,"(4, 4)"
What is the sum of Row 6?,43,tables/arithmetic_6.html,nt-36,arithmetic,row,"(6, 6)"
What is the maximum of Col 5?,10,tables/arithmetic_6.html,nt-37,arithmetic,col,"(6, 6)"
List all items in Row 9,"T,D,D,X,M,W,H,M,E,H",tables/item_10.html,nt-38,item,row,"(10, 10)"
List all items in Col 8,"R,X,Z,K,X,D,K,P,M,J",tables/item_10.html,nt-39,item,col,"(10, 10)"
List all items in Row 7,"M,P,I,U,E,Y,W,B",tables/item_8.html,nt-40,item,row,"(8, 8)"
List all items in Col 5,"Q,V,W,S,W,M,E,W",tables/item_8.html,nt-41,item,col,"(8, 8)"
List all items in Row 5,"O,Q,N,T,L,Z",tables/item_6.tsv,nt-42,item,row,"(6, 6)"
List all items in Col 2,"A,T,Z,Z,Q,B",tables/item_6.tsv,nt-43,item,col,"(6, 6)"
List all items in Row 4,"W,O,N,X,T,D,V,W,E,S,J,W",tables/item_12.tsv,nt-44,item,row,"(12, 12)"
List all items in Col 3,"Z,U,R,N,L,D,Z,M,W,N,O,D",tables/item_12.tsv,nt-45,item,col,"(12, 12)"
List all items in Row 8,"N,T,K,W,V,V,I,R,Q,R",tables/item_10.tsv,nt-46,item,row,"(10, 10)"
List all items in Col 3,"Z,A,T,C,L,B,C,K,D,I",tables/item_10.tsv,nt-47,item,col,"(10, 10)"
What is the maximum of Row 5?,10,tables/arithmetic_6.tsv,nt-48,arithmetic,row,"(6, 6)"
What is the minimum of Col 2?,1,tables/arithmetic_6.tsv,nt-49,arithmetic,col,"(6, 6)"
What is the maximum of Row 11?,10,tables/arithmetic_12.csv,nt-50,arithmetic,row,"(12, 12)"
What is the maximum of Col 3?,10,tables/arithmetic_12.csv,nt-51,arithmetic,col,"(12, 12)"
What is the sum of Row 6?,52,tables/arithmetic_10.csv,nt-52,arithmetic,row,"(10, 10)"
What is the minimum of Col 4?,2,tables/arithmetic_10.csv,nt-53,arithmetic,col,"(10, 10)"
What is the minimum of Row 1?,6,tables/arithmetic_4.tsv,nt-54,arithmetic,row,"(4, 4)"
What is the maximum of Col 3?,9,tables/arithmetic_4.tsv,nt-55,arithmetic,col,"(4, 4)"
What is the maximum of Row 4?,10,tables/arithmetic_8.csv,nt-56,arithmetic,row,"(8, 8)"
What is the sum of Col 1?,42,tables/arithmetic_8.csv,nt-57,arithmetic,col,"(8, 8)"
What is the minimum of Row 4?,1,tables/arithmetic_12.html,nt-58,arithmetic,row,"(12, 12)"
What is the maximum of Col 6?,10,tables/arithmetic_12.html,nt-59,arithmetic,col,"(12, 12)"
